               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.061286,             0.44229,                   0,             0.98727,             0.97508,             0.99016,             0.68869,            0.058014,             0.36139,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.058364,             0.42522,                   0,             0.99531,             0.97844,              0.9921,             0.71921,            0.053536,               0.344,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.056937,             0.40585,                   0,             0.99606,             0.97992,             0.99295,             0.71108,            0.054641,             0.34861,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.058647,             0.41371,                   0,             0.99295,             0.97807,             0.99221,             0.71487,            0.057121,              0.3605,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.060245,             0.43312,                   0,             0.99655,             0.98127,             0.99303,             0.71957,            0.053029,             0.34267,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.060932,             0.41759,                   0,             0.98545,             0.97718,             0.99197,             0.69382,            0.055535,             0.36797,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.056735,             0.41757,                   0,             0.99568,             0.98206,             0.99376,             0.71039,            0.054359,             0.35762,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.057921,              0.4128,                   0,             0.99517,             0.97925,             0.99321,             0.69195,            0.055712,             0.37282,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.059478,             0.41363,                   0,              0.9936,             0.97791,             0.99214,             0.70559,            0.056295,             0.35875,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.057642,             0.41783,                   0,             0.99674,             0.98129,             0.99232,             0.71474,            0.053321,               0.345,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.058633,             0.43958,                   0,             0.99576,             0.98361,             0.99434,             0.70817,            0.053316,             0.35142,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.059244,              0.4184,                   0,             0.99453,             0.98176,             0.99398,             0.71208,            0.055314,             0.35535,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.058762,              0.4223,                   0,             0.99523,              0.9778,             0.99236,             0.68441,            0.055198,             0.36628,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.056231,             0.39318,                   0,             0.99612,             0.97957,             0.99318,             0.67968,             0.05501,             0.36781,                   0,            0.006634,            0.006634,            0.006634
                  53,             0.05934,             0.42247,                   0,             0.99318,             0.97663,             0.99263,             0.69306,            0.055903,             0.36442,                   0,            0.006568,            0.006568,            0.006568
                  54,             0.05733,             0.41939,                   0,             0.99653,             0.98409,             0.99444,             0.71161,            0.053095,             0.34859,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.056002,             0.39665,                   0,             0.99617,             0.98285,             0.99428,             0.72005,            0.052944,              0.3475,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.054302,             0.39298,                   0,             0.99512,             0.97634,             0.99103,             0.69779,            0.054336,             0.37007,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.058143,             0.42264,                   0,             0.99576,              0.9808,             0.99329,             0.71606,            0.053696,             0.34858,                   0,            0.006304,            0.006304,            0.006304
                  58,             0.05884,             0.43166,                   0,             0.99584,              0.9814,             0.99405,             0.73647,            0.052637,             0.33967,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.056445,             0.40846,                   0,             0.99523,             0.98517,              0.9945,             0.70025,            0.054701,             0.37426,                   0,            0.006172,            0.006172,            0.006172
                  60,             0.05749,             0.43652,                   0,             0.99679,              0.9848,             0.99456,             0.72532,             0.05234,             0.34705,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.058782,             0.39583,                   0,             0.99524,             0.98274,             0.99408,             0.67449,            0.056381,             0.36118,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.057336,             0.41054,                   0,             0.99666,             0.98312,             0.99418,             0.71358,            0.053244,             0.35522,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.055636,              0.4002,                   0,             0.99677,             0.98523,             0.99462,             0.71941,            0.052747,             0.34285,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.054185,             0.38101,                   0,             0.99698,             0.98271,             0.99416,             0.74429,            0.051093,             0.32657,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.057166,              0.4146,                   0,             0.99646,             0.98335,             0.99437,             0.73183,            0.053354,             0.34074,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.055882,             0.40944,                   0,             0.99682,             0.98361,             0.99429,             0.74006,            0.050732,             0.32735,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.055727,             0.40636,                   0,             0.99679,             0.98368,             0.99435,             0.73816,            0.050873,             0.33019,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.054123,             0.38907,                   0,             0.99649,             0.98185,             0.99401,             0.72391,            0.053094,             0.34549,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.057139,             0.40432,                   0,              0.9967,             0.98589,             0.99473,             0.72679,            0.052268,             0.33771,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.054079,              0.3852,                   0,             0.99699,              0.9839,             0.99425,             0.74043,              0.0509,             0.32873,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.054586,             0.39416,                   0,             0.98245,             0.98226,             0.99312,             0.72238,            0.054387,             0.34708,                   0,             0.00538,             0.00538,             0.00538
                  72,             0.05453,             0.39314,                   0,             0.99702,             0.98308,             0.99434,             0.74073,            0.050697,             0.32593,                   0,            0.005314,            0.005314,            0.005314
                  73,             0.05598,             0.38976,                   0,             0.99619,               0.981,             0.99408,             0.70061,            0.053303,              0.3542,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.054767,             0.39078,                   0,              0.9973,             0.98565,             0.99471,             0.74223,            0.051694,             0.33168,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.054373,             0.38899,                   0,             0.99694,             0.98481,             0.99464,             0.74872,            0.050299,             0.32491,                   0,            0.005116,            0.005116,            0.005116
